Main document class|First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
amsart|texmf-dist|fonts|tfm/public/cm|cmex10.tfm|10.837
amsart|texmf-dist|fonts|tfm/public/cm|cmti8.tfm|10.830
article|texmf-dist|tex|latex/base|size11.clo|10.653
elsarticle|texmf-dist|tex|latex/amscls|amsthm.sty|10.301
article|texmf-dist|fonts|tfm/public/latex-fonts|lasy6.tfm|10.225
elsarticle|texmf-dist|fonts|tfm/adobe/zapfding|pzdr.tfm|10.142
elsarticle|texmf-dist|fonts|tfm/adobe/symbol|psyr.tfm|10.142
elsarticle|texmf-dist|tex|latex/latexconfig|color.cfg|10.031
article|texmf-dist|tex|latex/base|latexsym.sty|9.944
elsarticle|texmf-dist|tex|latex/geometry|geometry.sty|9.926
article|texmf-dist|fonts|tfm/public/latex-fonts|lasy10.tfm|9.890
elsarticle|texmf-dist|fonts|tfm/public/cm|cmtt8.tfm|9.881
article|texmf-dist|tex|latex/base|ulasy.fd|9.866
elsarticle|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|9.762
amsart|texmf-dist|tex|latex/graphics|dvips.def|9.752
article|texmf-dist|fonts|tfm/public/latex-fonts|lasy8.tfm|9.663
elsarticle|texmf-dist|tex|generic/oberdiek|infwarerr.sty|9.563
elsarticle|texmf-dist|tex|generic/oberdiek|ltxcmds.sty|9.524
amsart|texmf-dist|tex|latex/graphics|trig.sty|9.399
article|texmf-dist|tex|latex/oberdiek|kvoptions.sty|9.399
amsart|texmf-dist|tex|latex/graphics|graphics.sty|9.392
article|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|9.235
amsart|texmf-dist|tex|latex/latexconfig|graphics.cfg|9.233
article|texmf-dist|tex|latex/graphics|color.sty|9.145
elsarticle|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|9.119
article|texmf-dist|tex|latex/base|omscmr.fd|9.111
amsart|texmf-dist|fonts|tfm/public/cm|cmbx8.tfm|9.089
elsarticle|texmf-dist|tex|latex/base|size12.clo|9.081
amsart|texmf-dist|tex|latex/graphics|graphicx.sty|8.941
elsarticle|texmf-dist|tex|generic/ifxetex|ifxetex.sty|8.843
article|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|8.818
elsarticle|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|8.733
article|texmf-dist|fonts|tfm/public/latex-fonts|lasy5.tfm|8.580
elsarticle|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|8.531
article|texmf-dist|tex|generic/oberdiek|ifpdf.sty|8.483
article|texmf-dist|fonts|tfm/public/latex-fonts|lasy7.tfm|8.433
elsarticle|texmf-dist|fonts|tfm/public/cm|cmbx7.tfm|8.392
elsarticle|texmf-dist|fonts|tfm/public/cm|cmr17.tfm|8.294
article|texmf-dist|tex|generic/oberdiek|infwarerr.sty|8.262
article|texmf-dist|tex|generic/oberdiek|ltxcmds.sty|8.244
elsarticle|texmf-dist|tex|generic/oberdiek|ifluatex.sty|8.195
elsarticle|texmf-dist|fonts|tfm/public/cm|cmti12.tfm|8.159
elsarticle|texmf-dist|tex|generic/oberdiek|etexcmds.sty|8.142
elsarticle|texmf-dist|tex|generic/oberdiek|pdftexcmds.sty|8.133
elsarticle|texmf-dist|tex|generic/oberdiek|kvsetkeys.sty|8.103
article|texmf-dist|tex|latex/base|size10.clo|7.979
elsarticle|texmf-dist|tex|latex/url|url.sty|7.865
article|texmf-dist|fonts|tfm/public/cm|cmti7.tfm|7.854
article|texmf-dist|tex|generic/oberdiek|ifluatex.sty|7.769
article|texmf-dist|tex|generic/oberdiek|etexcmds.sty|7.743
article|texmf-dist|tex|generic/oberdiek|pdftexcmds.sty|7.728
article|texmf-dist|tex|generic/oberdiek|kvsetkeys.sty|7.709
elsarticle|texmf-dist|tex|latex/oberdiek|epstopdf-base.sty|7.694
elsarticle|texmf-dist|tex|latex/oberdiek|grfext.sty|7.694
elsarticle|texmf-dist|fonts|tfm/public/cm|cmtt10.tfm|7.642
amsart|texmf-dist|fonts|tfm/public/cm|cmti7.tfm|7.527
article|texmf-dist|fonts|tfm/public/cm|cmbx9.tfm|7.464
elsarticle|texmf-dist|tex|latex/graphics|color.sty|7.323
amsart|texmf-dist|tex|latex/latexconfig|color.cfg|7.225
article|texmf-dist|tex|latex/graphics|dvipsnam.def|7.122
elsarticle|texmf-dist|tex|latex/latexconfig|epstopdf-sys.cfg|7.058
article|texmf-dist|fonts|tfm/public/cm|cmti8.tfm|7.016
elsarticle|texmf-dist|fonts|tfm/public/cm|cmmib10.tfm|6.939
article|texmf-dist|tex|latex/graphics|epsfig.sty|6.937
elsarticle|texmf-dist|fonts|tfm/public/cm|cmbsy10.tfm|6.914
amsart|texmf-dist|fonts|tfm/public/cm|cmr12.tfm|6.865
amsart|texmf-dist|tex|generic/oberdiek|ifpdf.sty|6.769
elsarticle|texmf-dist|tex|latex/pdftex-def|pdftex.def|6.701
elsarticle|texmf-dist|tex|context/base|supp-pdf.mkii|6.701
elsarticle|texmf-var|web2c|pdftex|pdflatex.fmt|6.660
amsart|texmf-dist|fonts|tfm/public/cm|cmbx6.tfm|6.611
elsarticle|texmf-var|fonts|map/pdftex/updmap|pdftex.map|6.589
amsart|texmf-dist|fonts|tfm/public/cm|cmbx5.tfm|6.532
elsarticle|texmf-dist|tex|latex/base|omscmr.fd|6.515
amsart|texmf-dist|fonts|tfm/public/cm|cmmi12.tfm|6.327
article|texmf-dist|tex|latex/oberdiek|epstopdf-base.sty|6.280
article|texmf-dist|tex|latex/oberdiek|grfext.sty|6.280
amsart|texmf-dist|fonts|tfm/public/cm|cmmi9.tfm|6.235
amsart|texmf-dist|fonts|tfm/public/cm|cmsy9.tfm|6.223
amsart|texmf-dist|fonts|tfm/public/amsfonts/cmextra|cmex9.tfm|6.204
amsart|texmf-dist|fonts|tfm/public/cm|cmbx12.tfm|6.148
article|texmf-dist|tex|latex/url|url.sty|6.115
elsarticle|texmf-dist|tex|latex/hyperref|nameref.sty|6.092
elsarticle|texmf-dist|tex|generic/oberdiek|gettitlestring.sty|6.092
elsarticle|texmf-dist|tex|latex/hyperref|pd1enc.def|6.091
elsarticle|texmf-dist|tex|latex/hyperref|hyperref.sty|6.091
elsarticle|texmf-dist|tex|latex/latexconfig|hyperref.cfg|6.089
elsarticle|texmf-dist|tex|latex/oberdiek|rerunfilecheck.sty|6.046
amsart|texmf-dist|fonts|tfm/public/cm|cmtt8.tfm|6.012
amsart|texmf-dist|tex|latex/oberdiek|kvoptions.sty|5.875
article|texmf-dist|tex|generic/oberdiek|ifvtex.sty|5.869
article|texmf-dist|fonts|tfm/public/cm|cmcsc10.tfm|5.827
amsart|texmf-dist|fonts|tfm/public/cm|cmr10.tfm|5.823
elsarticle|texmf-dist|tex|latex/base|ifthen.sty|5.767
