First main dir|Second main dir|The rest of main dirs|Filename|Use count (%)
texmf-dist|fonts|tfm/public/fourier|futri8t.tfm|0.073
texmf-dist|tex|latex/tocbibind|tocbibind.sty|0.073
texmf-dist|fonts|vf/adobe/times|zpsycmrv.vf|0.073
texmf-dist|tex|latex/mdframed|mdframed.sty|0.073
texmf-dist|fonts|vf/public/ae|aebx10.vf|0.072
texmf-dist|tex|latex/truncate|truncate.sty|0.072
texmf-dist|fonts|tfm/public/bbm|bbm17.tfm|0.072
texmf-dist|tex|latex/changepage|chngpage.sty|0.072
texmf-dist|tex|latex/base|report.cls|0.072
texmf-dist|tex|latex/amsfonts|ueuex.fd|0.072
texmf-dist|fonts|tfm/public/amsfonts/euler|euex7.tfm|0.072
texmf-dist|fonts|tfm/public/lm|ec-lmbxi10.tfm|0.072
texmf-dist|fonts|type1/urw/zapfchan|uzcmi8a.pfb|0.072
texmf-dist|fonts|type1/public/cm-super|sfti0700.pfb|0.072
texmf-dist|fonts|type1/public/lm|lmtt10.pfb|0.071
texmf-dist|tex|generic/levy|greekmacros.tex|0.071
texmf-dist|tex|latex/psnfss|omspcr.fd|0.071
texmf-dist|tex|latex/adjustbox|tc-pdftex.def|0.071
texmf-dist|tex|latex/oberdiek|centernot.sty|0.071
texmf-dist|fonts|tfm/public/txfonts|txbss.tfm|0.071
texmf-dist|fonts|tfm/jknappen/ec|ecss0900.tfm|0.071
texmf-dist|fonts|type1/public/xypic|xybsql10.pfb|0.069
texmf-dist|tex|latex/oberdiek|grffile.sty|0.069
texmf-dist|fonts|tfm/public/lm|ec-lmtt9.tfm|0.069
texmf-dist|tex|latex/base|bk10.clo|0.069
texmf-dist|fonts|tfm/jknappen/ec|tcrm0900.tfm|0.069
texmf-dist|tex|generic/oberdiek|catchfile.sty|0.069
texmf-dist|fonts|tfm/public/amsfonts/euler|euex8.tfm|0.069
texmf-dist|fonts|type1/public/cm-super|sftt1200.pfb|0.069
texmf-dist|fonts|vf/public/ae|aeti10.vf|0.068
texmf-dist|tex|latex/bussproofs|bussproofs.sty|0.068
texmf-dist|tex|latex/tabulary|tabulary.sty|0.068
texmf-dist|tex|latex/oberdiek|bookmark.sty|0.068
texmf-dist|fonts|tfm/public/amsfonts/euler|eusb10.tfm|0.068
texmf-dist|fonts|tfm/public/lm|rm-lmcsc10.tfm|0.068
texmf-dist|tex|generic/pgf/frontendlayer/tikz/libraries|tikzlibraryscopes.code.tex|0.068
texmf-dist|fonts|tfm/adobe/palatino|pplrc8t.tfm|0.068
texmf-dist|fonts|type1/public/lm|lmmib10.pfb|0.067
texmf-dist|fonts|type1/public/lm|lmri7.pfb|0.067
texmf-dist|tex|latex/textpos|textpos.sty|0.067
texmf-dist|tex|latex/fixme|fixme.sty|0.067
texmf-dist|fonts|tfm/jknappen/ec|ecsx1440.tfm|0.067
texmf-dist|tex|generic/pictex|pictexwd.tex|0.067
texmf-dist|tex|latex/euler|euler.sty|0.067
texmf-dist|tex|generic/unicode-data|SpecialCasing.txt|0.065
